fdc_id,data_type,description,protein_g,fat_g,carb_g,energy_kcal,fiber_g,sodium_mg,cholesterol_mg,satfat_g,sugars_g,desc_tokens,has_pork,has_beef,has_meat,brand,variant,product,verb,adj
167524,sr_legacy_food,"Waffles, chocolate chip, frozen, ready-to-heat",5.8,10.1,45.68,297.0,1.5,529.0,21.0,3.567,13.1,"['waffles', 'chocolate chip', 'frozen', 'ready-to-heat']",False,False,False,[],"['chocolate chip', 'frozen', 'ready-to-heat']",['Waffles'],['frozen'],['ready']
167525,sr_legacy_food,"Tostada shells, corn",6.15,23.38,64.43,474.0,5.8,657.0,,7.011,,"['tostada shells', 'corn']",False,False,False,['corn'],[],"['Tostada shells', 'corn']",[],[]
167526,sr_legacy_food,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",7.12,17.12,47.84,374.0,0.7,510.0,59.0,4.612,24.9,"['bread', 'salvadoran sweet cheese (quesadilla salvadorena)']",False,False,False,['salvadoran'],['quesadilla salvadorena'],"['Bread', 'sweet cheese']",[],"['salvadoran', 'sweet']"
167527,sr_legacy_food,"Bread, pound cake type, pan de torta salvadoran",7.06,17.45,51.29,390.0,1.7,390.0,,3.042,18.1,"['bread', 'pound cake type', 'pan de torta salvadoran']",False,False,False,['salvadoran'],"['pound cake type', 'salvadoran']","['Bread', 'pound cake type', 'pan de torta']",[],[]
167528,sr_legacy_food,"Pastry, Pastelitos de Guava (guava pastries)",5.48,18.5,47.76,379.0,2.2,231.0,10.0,5.535,17.0,"['pastry', 'pastelitos de guava (guava pastries)']",False,False,False,[],"['Pastelitos de Guava', 'guava pastries']","['Pastry', 'Pastelitos de Guava', 'guava pastries']",[],[]
167529,sr_legacy_food,"Crackers, snack, Goya Crackers",14.25,13.35,64.35,433.0,3.8,665.0,,6.323,2.35,"['crackers', 'snack', 'goya crackers']",False,False,False,['Goya'],[],"['Crackers', 'snack']",[],[]
167530,sr_legacy_food,"Crackers, cream, Gamesa Sabrosas",7.01,20.37,64.55,484.0,2.4,1148.0,,5.362,9.37,"['crackers', 'cream', 'gamesa sabrosas']",False,False,False,['Gamesa'],['Sabrosas'],"['Crackers', 'cream']",[],[]
167531,sr_legacy_food,"Crackers, cream, La Moderna Rikis Cream Crackers",7.19,19.5,64.88,464.0,2.4,752.0,,2.634,10.41,"['crackers', 'cream', 'la moderna rikis cream crackers']",False,False,False,['La Moderna Rikis'],"['cream', 'Cream']",['Crackers'],[],[]
167532,sr_legacy_food,"Bread, white wheat",10.66,2.15,43.91,238.0,9.2,478.0,0.0,0.63,5.0,"['bread', 'white wheat']",False,False,False,[],['white wheat'],['Bread'],[],['white']
167533,sr_legacy_food,"Bagels, wheat",10.2,1.53,48.89,250.0,4.1,439.0,0.0,0.0,6.12,"['bagels', 'wheat']",False,False,False,[],['wheat'],['Bagels'],[],[]
167534,sr_legacy_food,"Cream puff, eclair, custard or cream filled, iced",4.41,18.52,37.43,334.0,0.9,265.0,66.0,7.055,22.05,"['cream puff', 'eclair', 'custard or cream filled', 'iced']",False,False,False,[],"['custard or cream filled', 'iced']","['Cream puff', 'eclair']","['filled', 'iced']",[]
167535,sr_legacy_food,"Tortillas, ready-to-bake or -fry, flour, shelf stable",8.01,7.58,49.27,297.0,2.4,742.0,0.0,1.225,2.66,"['tortillas', 'ready-to-bake or -fry', 'flour', 'shelf stable']",False,False,False,['flour'],"['ready-to-bake or -fry', 'shelf stable']",['Tortillas'],[],['ready']
167536,sr_legacy_food,"Snacks, beef jerky, chopped and formed",33.2,25.6,11.0,410.0,1.8,1785.0,48.0,10.85,9.0,"['snacks', 'beef jerky', 'chopped and formed']",False,True,True,['beef jerky'],['chopped and formed'],"['Snacks', 'beef jerky']","['chopped', 'formed']",[]
167537,sr_legacy_food,"Snacks, corn-based, extruded, chips, plain",6.17,33.36,57.27,539.0,4.0,514.0,0.0,4.331,0.27,"['snacks', 'corn-based', 'extruded', 'chips', 'plain']",False,False,False,['corn-based'],"['extruded', 'plain']","['Snacks', 'corn-based', 'chips']","['based', 'extruded']",['plain']
167538,sr_legacy_food,"Snacks, corn-based, extruded, chips, barbecue-flavor",7.0,32.7,56.2,523.0,5.2,763.0,0.0,4.46,,"['snacks', 'corn-based', 'extruded', 'chips', 'barbecue-flavor']",False,False,False,"['corn-based', 'extruded']",['barbecue-flavor'],"['Snacks', 'corn-based', 'extruded', 'chips']","['based', 'extruded']",[]
167539,sr_legacy_food,"Snacks, corn-based, extruded, cones, plain",5.8,26.9,62.9,510.0,1.1,1022.0,0.0,22.75,,"['snacks', 'corn-based', 'extruded', 'cones', 'plain']",False,False,False,['corn-based'],"['extruded', 'cones', 'plain']","['Snacks', 'corn-based']","['based', 'extruded']",['plain']
167540,sr_legacy_food,"Snacks, fruit leather, pieces",1.0,2.68,82.82,359.0,0.0,199.0,0.0,0.65,57.58,"['snacks', 'fruit leather', 'pieces']",False,False,False,[],['pieces'],"['Snacks', 'fruit leather']",[],[]
167541,sr_legacy_food,"Snacks, fruit leather, rolls",0.1,3.0,85.8,371.0,0.0,317.0,0.0,0.672,49.16,"['snacks', 'fruit leather', 'rolls']",False,False,False,[],[],"['Snacks', 'fruit leather', 'rolls']",[],[]
167542,sr_legacy_food,"Snacks, granola bars, hard, plain",10.1,19.8,64.4,471.0,5.3,294.0,0.0,2.37,28.57,"['snacks', 'granola bars', 'hard', 'plain']",False,False,False,[],"['hard', 'plain']","['Snacks', 'granola bars']",[],"['hard', 'plain']"
167543,sr_legacy_food,"Snacks, granola bars, hard, almond",7.7,25.5,62.0,495.0,4.8,256.0,0.0,12.51,,"['snacks', 'granola bars', 'hard', 'almond']",False,False,False,[],"['hard', 'almond']","['Snacks', 'granola bars']",[],['hard']
167544,sr_legacy_food,"Snacks, granola bars, soft, uncoated, raisin",7.6,17.8,66.4,448.0,4.2,282.0,0.0,9.57,,"['snacks', 'granola bars', 'soft', 'uncoated', 'raisin']",False,False,False,[],"['soft', 'uncoated', 'raisin']","['Snacks', 'granola bars']",[],"['soft', 'uncoated']"
167545,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",5.8,24.9,63.8,466.0,3.4,200.0,5.0,14.22,,"['snacks', 'granola bars', 'soft', 'coated', 'milk chocolate coating', 'chocolate chip']",False,False,False,[],"['soft', 'coated', 'milk chocolate coating', 'chocolate chip']","['Snacks', 'granola bars', 'chocolate chip']",[],"['soft', 'coated']"
167546,sr_legacy_food,"Candies, honey-combed, with peanut butter",8.72,20.18,67.41,473.0,1.9,174.0,0.0,5.735,62.68,"['candies', 'honey-combed', 'with peanut butter']",False,False,False,['Candies'],"['honey-combed', 'with peanut butter']",['Candies'],['combed'],[]
167547,sr_legacy_food,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",10.2,31.1,53.4,508.0,2.8,193.0,12.0,17.01,23.74,"['snacks', 'granola bars', 'soft', 'coated', 'milk chocolate coating', 'peanut butter']",False,False,False,['peanut butter'],"['soft', 'coated', 'milk chocolate coating']","['Snacks', 'granola bars', 'peanut butter']",[],"['soft', 'coated']"
167548,sr_legacy_food,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",9.8,20.0,62.2,432.0,4.2,328.0,1.0,5.59,,"['snacks', 'granola bars', 'soft', 'uncoated', 'peanut butter and chocolate chip']",False,False,False,['peanut butter'],"['soft', 'uncoated', 'peanut butter', 'chocolate chip']","['Snacks', 'granola bars']",[],"['soft', 'uncoated']"
167549,sr_legacy_food,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",7.29,43.55,45.06,583.0,8.1,909.0,0.0,6.82,0.46,"['snacks', 'popcorn', 'oil-popped', 'microwave', 'regular flavor', 'no trans fat']",False,False,False,[],"['oil-popped', 'microwave', 'regular flavor', 'no trans fat']","['Snacks', 'popcorn', 'microwave']",['popped'],"['regular', 'trans']"
167550,sr_legacy_food,"Snacks, popcorn, cakes",9.7,3.1,80.1,384.0,2.9,288.0,0.0,0.48,0.72,"['snacks', 'popcorn', 'cakes']",False,False,False,[],[],"['Snacks', 'popcorn', 'cakes']",[],[]
167551,sr_legacy_food,"Snacks, popcorn, caramel-coated, with peanuts",6.4,7.8,80.7,400.0,3.8,177.0,0.0,1.04,45.36,"['snacks', 'popcorn', 'caramel-coated', 'with peanuts']",False,False,False,[],"['caramel-coated', 'with peanuts']","['Snacks', 'popcorn']",['coated'],[]
167552,sr_legacy_food,"Snacks, popcorn, caramel-coated, without peanuts",3.8,12.8,79.1,431.0,5.2,206.0,0.0,3.61,53.19,"['snacks', 'popcorn', 'caramel-coated', 'without peanuts']",False,False,False,[],"['caramel-coated', 'without peanuts']","['Snacks', 'popcorn']",['coated'],[]
167553,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, reduced fat",4.56,26.14,64.76,502.0,3.2,450.0,0.0,6.759,0.63,"['snacks', 'potato chips', 'made from dried potatoes', 'reduced fat']",False,False,False,[],['reduced fat'],"['Snacks', 'potato chips', 'made from dried potatoes']","['made', 'dried', 'reduced']",[]
167554,sr_legacy_food,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",6.6,37.0,51.3,547.0,1.2,541.0,3.0,9.47,,"['snacks', 'potato chips', 'made from dried potatoes', 'sour-cream and onion-flavor']",False,False,False,[],"['sour-cream', 'onion-flavor']","['Snacks', 'potato chips']","['made', 'dried']",[]
167555,sr_legacy_food,"Snacks, pretzels, hard, plain, salted",10.04,2.93,80.39,384.0,3.4,1240.0,0.0,0.391,2.21,"['snacks', 'pretzels', 'hard', 'plain', 'salted']",False,False,False,[],"['hard', 'plain', 'salted']","['Snacks', 'pretzels']",['salted'],"['hard', 'plain']"
167556,sr_legacy_food,"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",7.5,16.7,70.9,457.0,2.4,569.0,0.0,7.68,38.8,"['snacks', 'pretzels', 'hard', ""confectioner's coating"", 'chocolate-flavor']",False,False,False,[],"['hard', 'chocolate-flavor']","['Snacks', 'pretzels', 'hard', ""confectioner's coating""]",[],['hard']
167557,sr_legacy_food,"Snacks, rice cakes, brown rice, sesame seed",7.6,3.8,81.5,392.0,5.4,227.0,0.0,0.54,,"['snacks', 'rice cakes', 'brown rice', 'sesame seed']",False,False,False,[],"['brown rice', 'sesame seed']","['Snacks', 'rice cakes', 'brown rice', 'sesame seed']",[],['brown']
167558,sr_legacy_food,"Snacks, tortilla chips, plain, white corn, salted",7.1,20.68,67.78,472.0,5.4,328.0,0.0,2.811,0.78,"['snacks', 'tortilla chips', 'plain', 'white corn', 'salted']",False,False,False,[],"['plain', 'white corn', 'salted']","['Snacks', 'tortilla chips']",['salted'],"['plain', 'white']"
167559,sr_legacy_food,"Snacks, tortilla chips, nacho cheese",7.36,27.42,60.81,519.0,5.1,691.0,0.0,3.876,2.59,"['snacks', 'tortilla chips', 'nacho cheese']",False,False,False,[],['nacho cheese'],"['Snacks', 'tortilla chips', 'nacho cheese']",[],[]
167560,sr_legacy_food,"Snacks, tortilla chips, ranch-flavor",7.19,24.63,62.74,501.0,4.0,519.0,,3.539,3.03,"['snacks', 'tortilla chips', 'ranch-flavor']",False,False,False,[],['ranch-flavor'],"['Snacks', 'tortilla chips']",[],[]
167561,sr_legacy_food,"Snacks, trail mix, regular",13.8,29.4,44.9,462.0,,229.0,0.0,5.55,,"['snacks', 'trail mix', 'regular']",False,False,False,[],['regular'],"['Snacks', 'trail mix']",[],['regular']
167562,sr_legacy_food,"Candies, ALMOND JOY Candy Bar",4.13,26.93,59.51,479.0,5.0,142.0,4.0,17.59,48.34,"['candies', 'almond joy candy bar']",False,False,False,['ALMOND JOY'],[],"['Candies', 'Candy Bar']",[],[]
167563,sr_legacy_food,"Candies, TWIZZLERS CHERRY BITES",2.97,1.7,79.38,338.0,0.1,261.0,0.0,0.25,,"['candies', 'twizzlers cherry bites']",False,False,False,['TWIZZLERS'],['CHERRY BITES'],['Candies'],[],[]
167564,sr_legacy_food,"Candies, NESTLE, BIT-O'-HONEY Candy Chews",2.0,7.5,80.89,388.0,0.2,295.0,0.0,5.5,48.0,"['candies', 'nestle', ""bit-o'-honey candy chews""]",False,False,False,"['NESTLE', 'BIT-O']",['HONEY'],"['Candies', 'BIT-O', 'Chews']",[],[]
167565,sr_legacy_food,"Candies, NESTLE, BUTTERFINGER Bar",5.4,18.9,72.9,459.0,2.0,230.0,0.0,9.5,45.9,"['candies', 'nestle', 'butterfinger bar']",False,False,False,['NESTLE'],['BUTTERFINGER Bar'],['Candies'],[],[]
167566,sr_legacy_food,"Candies, caramels, chocolate-flavor roll",1.59,3.31,87.73,387.0,0.1,44.0,2.0,0.967,56.32,"['candies', 'caramels', 'chocolate-flavor roll']",False,False,False,[],['chocolate-flavor roll'],"['Candies', 'caramels']",[],[]
167567,sr_legacy_food,"Baking chocolate, unsweetened, liquid",12.1,47.7,36.2,472.0,18.1,12.0,0.0,25.29,0.0,"['baking chocolate', 'unsweetened', 'liquid']",False,False,False,['Baking chocolate'],"['unsweetened', 'liquid']",['Baking chocolate'],[],['unsweetened']
167568,sr_legacy_food,"Baking chocolate, unsweetened, squares",14.32,52.31,28.42,642.0,16.6,24.0,2.0,32.277,0.91,"['baking chocolate', 'unsweetened', 'squares']",False,False,False,['Baking chocolate'],"['unsweetened', 'squares']",['Baking chocolate'],[],['unsweetened']
167569,sr_legacy_food,"Candies, confectioner's coating, yogurt",5.87,27.0,63.94,522.0,0.0,88.0,1.0,24.104,62.36,"['candies', ""confectioner's coating"", 'yogurt']",False,False,False,[],"[""confectioner's coating""]","['Candies', 'yogurt']",[],[]
167570,sr_legacy_food,"Candies, confectioner's coating, peanut butter",18.3,29.8,46.88,529.0,5.0,250.0,1.0,13.12,38.3,"['candies', ""confectioner's coating"", 'peanut butter']",False,False,False,[],"[""confectioner's coating"", 'peanut butter']","['Candies', 'peanut butter']",[],[]
167571,sr_legacy_food,"Candies, white chocolate",5.87,32.09,59.24,539.0,0.2,90.0,21.0,19.412,59.0,"['candies', 'white chocolate']",False,False,False,[],['white chocolate'],['Candies'],[],['white']
167572,sr_legacy_food,"Ice creams, vanilla, light",4.78,4.83,29.46,180.0,0.3,74.0,27.0,2.927,22.12,"['ice creams', 'vanilla', 'light']",False,False,False,[],"['vanilla', 'light']",['Ice creams'],[],[]
167573,sr_legacy_food,"Ice creams, vanilla, rich",3.5,16.2,22.29,249.0,0.0,61.0,92.0,10.329,20.65,"['ice creams', 'vanilla', 'rich']",False,False,False,[],"['vanilla', 'rich']",['Ice creams'],[],['rich']
167574,sr_legacy_food,"Desserts, flan, caramel custard, prepared-from-recipe",4.53,4.03,22.78,145.0,0.0,53.0,90.0,1.799,22.78,"['desserts', 'flan', 'caramel custard', 'prepared-from-recipe']",False,False,False,[],['prepared-from-recipe'],"['Desserts', 'flan', 'caramel custard']",['prepared'],[]
167575,sr_legacy_food,"Ice creams, vanilla",3.5,11.0,23.6,207.0,0.7,80.0,44.0,6.79,21.22,"['ice creams', 'vanilla']",False,False,False,[],['vanilla'],['Ice creams'],[],[]
167576,sr_legacy_food,"Ice creams, vanilla, light, soft-serve",4.9,2.6,21.8,126.0,0.0,70.0,12.0,1.63,18.69,"['ice creams', 'vanilla', 'light', 'soft-serve']",False,False,False,[],"['vanilla', 'light', 'soft-serve']",['Ice creams'],['serve'],"['light', 'soft']"
167577,sr_legacy_food,"Sherbet, orange",1.1,2.0,30.4,144.0,1.3,46.0,1.0,1.16,24.32,"['sherbet', 'orange']",False,False,False,[],['orange'],['Sherbet'],[],['orange']
167578,sr_legacy_food,"Candies, fudge, peanut butter, prepared-from-recipe",3.78,6.59,77.75,387.0,0.7,118.0,3.0,1.721,73.36,"['candies', 'fudge', 'peanut butter', 'prepared-from-recipe']",False,False,False,"['Candies', 'fudge', 'peanut butter']",['prepared-from-recipe'],"['Candies', 'fudge', 'peanut butter']",['prepared'],[]
167579,sr_legacy_food,"Candies, fudge, vanilla, prepared-from-recipe",1.05,5.45,82.15,383.0,0.0,47.0,15.0,3.382,79.77,"['candies', 'fudge', 'vanilla', 'prepared-from-recipe']",False,False,False,"['fudge', 'vanilla']",['prepared-from-recipe'],"['Candies', 'fudge', 'vanilla']",['prepared'],[]
167580,sr_legacy_food,"Candies, fudge, vanilla with nuts",3.0,13.69,74.61,435.0,0.9,42.0,13.0,3.828,71.0,"['candies', 'fudge', 'vanilla with nuts']",False,False,False,[],['vanilla with nuts'],"['Candies', 'fudge']",[],[]
167581,sr_legacy_food,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",9.7,34.0,53.0,512.0,9.7,36.0,12.0,12.1,43.0,"['candies', 'nestle', 'goobers chocolate covered peanuts']",False,False,False,"['NESTLE', 'GOOBERS']",['Chocolate Covered Peanuts'],"['Candies', 'GOOBERS', 'Chocolate Covered Peanuts']",['Covered'],[]
167582,sr_legacy_food,"Candies, NESTLE, BABY RUTH Bar",5.4,21.6,64.8,475.0,2.0,230.0,0.0,12.1,54.0,"['candies', 'nestle', 'baby ruth bar']",False,False,False,"['NESTLE', 'BABY RUTH']","['BABY RUTH', 'Bar']","['Candies', 'Bar']",[],[]
167583,sr_legacy_food,"Candies, TWIZZLERS Strawberry Twists Candy",2.56,2.32,79.16,348.0,0.0,287.0,0.0,0.0,39.64,"['candies', 'twizzlers strawberry twists candy']",False,False,False,['TWIZZLERS'],['Strawberry Twists'],"['Candies', 'TWIZZLERS', 'Candy']",[],[]
167584,sr_legacy_food,"Syrups, table blends, pancake, with butter",0.0,0.09,72.43,291.0,0.0,287.0,0.0,0.0,72.25,"['syrups', 'table blends', 'pancake', 'with butter']",False,False,False,"['Syrups', 'table blends']",['with butter'],"['Syrups', 'table blends', 'pancake']",[],[]
167585,sr_legacy_food,"Ice creams, chocolate, light",5.0,7.19,25.7,187.0,0.8,71.0,28.0,4.38,24.71,"['ice creams', 'chocolate', 'light']",False,False,False,['chocolate'],['light'],['Ice creams'],[],[]
167586,sr_legacy_food,"Candies, NESTLE, CHUNKY Bar",7.5,27.5,60.4,519.0,2.5,38.0,10.0,12.5,52.5,"['candies', 'nestle', 'chunky bar']",False,False,False,['NESTLE'],['CHUNKY Bar'],['Candies'],[],['CHUNKY']
167587,sr_legacy_food,"Candies, milk chocolate",7.65,29.66,59.4,535.0,3.4,79.0,23.0,18.509,51.5,"['candies', 'milk chocolate']",False,False,False,[],['milk chocolate'],['Candies'],[],[]
167588,sr_legacy_food,"Puddings, banana, dry mix, instant, prepared with 2% milk",2.76,1.7,19.74,105.0,0.0,296.0,6.0,0.971,,"['puddings', 'banana', 'dry mix', 'instant', 'prepared with 2% milk']",False,False,False,['banana'],"['instant', 'prepared with 2% milk']","['Puddings', 'banana', 'dry mix']",['prepared'],"['dry', 'instant']"
167589,sr_legacy_food,"Puddings, banana, dry mix, regular, prepared with 2% milk",2.9,1.73,18.43,101.0,0.0,164.0,7.0,1.015,,"['puddings', 'banana', 'dry mix', 'regular', 'prepared with 2% milk']",False,False,False,['banana'],"['regular', 'prepared with 2% milk']","['Puddings', 'banana', 'dry mix']",['prepared'],"['dry', 'regular']"
167590,sr_legacy_food,"Andrea's, Gluten Free Soft Dinner Roll",5.65,8.2,40.24,257.0,2.9,544.0,,,2.98,"[""andrea's"", 'gluten free soft dinner roll']",False,False,False,"[""Andrea's""]",['Gluten Free Soft Dinner Roll'],['Gluten Free Soft Dinner Roll'],[],"['Free', 'Soft']"
167591,sr_legacy_food,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",10.91,15.92,67.18,456.0,7.5,370.0,,2.069,0.8,"['crunchmaster', 'multi-grain crisps', 'snack crackers', 'gluten-free']",False,False,False,['Crunchmaster'],['Gluten-Free'],"['Multi-Grain Crisps', 'Snack Crackers']",[],"['Multi', 'Free']"
167592,sr_legacy_food,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",2.19,17.89,76.03,474.0,2.5,275.0,,7.905,49.0,"['glutino', 'gluten free cookies', 'chocolate vanilla creme']",False,False,False,['Glutino'],"['Gluten Free Cookies', 'Chocolate Vanilla Creme']",['Gluten Free Cookies'],[],['Free']
167593,sr_legacy_food,"Glutino, Gluten Free Cookies, Vanilla Creme",2.19,18.79,77.34,487.0,0.0,189.0,,8.094,49.43,"['glutino', 'gluten free cookies', 'vanilla creme']",False,False,False,['Glutino'],"['Gluten Free Cookies', 'Vanilla Creme']",['Gluten Free Cookies'],[],['Free']
167594,sr_legacy_food,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",9.42,18.42,65.81,467.0,2.4,947.0,,1.432,1.03,"['pepperidge farm', 'goldfish', 'baked snack crackers', 'original']",False,False,False,['Pepperidge Farm'],['Original'],"['Goldfish', 'Baked Snack Crackers']",[],['Baked']
167595,sr_legacy_food,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",11.16,17.29,64.7,459.0,3.5,1187.0,,2.614,0.83,"['pepperidge farm', 'goldfish', 'baked snack crackers', 'parmesan']",False,False,False,['Pepperidge Farm'],['Parmesan'],"['Goldfish', 'Baked Snack Crackers']",[],['Baked']
167596,sr_legacy_food,"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",9.67,18.93,65.11,469.0,3.5,815.0,,2.137,0.86,"['pepperidge farm', 'goldfish', 'baked snack crackers', 'pizza']",False,False,False,['Pepperidge Farm'],"['Baked Snack Crackers', 'Pizza']","['Goldfish', 'Baked Snack Crackers']",[],['Baked']
167597,sr_legacy_food,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",3.13,10.7,52.83,320.0,3.5,528.0,,0.339,8.36,"[""rudi's"", 'gluten-free bakery', 'original sandwich bread']",False,False,False,"[""Rudi's"", 'Gluten-Free Bakery']",['Original Sandwich Bread'],['Original Sandwich Bread'],[],"['Free', 'Original']"
167598,sr_legacy_food,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",5.4,8.02,51.15,298.0,5.5,515.0,,0.629,11.3,"[""udi's"", 'gluten free', 'soft & delicious white sandwich bread']",False,False,False,"[""Udi's""]","['Gluten Free', 'Soft & Delicious']",['White Sandwich Bread'],[],"['Soft', 'Delicious', 'White']"
167599,sr_legacy_food,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",7.25,9.34,49.09,309.0,4.9,510.0,,0.266,9.81,"[""udi's"", 'gluten free', 'soft & hearty whole grain bread']",False,False,False,"[""Udi's""]","['Gluten Free', 'Soft & Hearty']",['Whole Grain Bread'],[],"['Soft', 'Hearty', 'Whole']"
167600,sr_legacy_food,"Udi's, Gluten Free, Whole Grain Dinner Rolls",11.8,11.6,44.29,329.0,11.2,507.0,,1.381,4.2,"[""udi's"", 'gluten free', 'whole grain dinner rolls']",False,False,False,"[""Udi's""]",['Gluten Free'],['Whole Grain Dinner Rolls'],[],"['Free', 'Whole']"
167601,sr_legacy_food,"Van's, Gluten Free, Totally Original Pancakes",3.31,4.55,40.32,215.0,1.5,331.0,,0.48,4.06,"[""van's"", 'gluten free', 'totally original pancakes']",False,False,False,"[""Van's""]","['Gluten Free', 'Totally Original']",['Pancakes'],[],"['Free', 'Original']"
167602,sr_legacy_food,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",15.34,1.39,46.24,259.0,36.7,4331.0,33.0,0.45,,"['seaweed', 'canadian cultivated emi-tsunomata', 'dry']",False,False,False,['Canadian Cultivated EMI-TSUNOMATA'],['dry'],['Seaweed'],['Cultivated'],"['Canadian', 'dry']"
167603,sr_legacy_food,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",1.86,0.17,5.62,31.0,4.5,526.0,,0.05,,"['seaweed', 'canadian cultivated emi-tsunomata', 'rehydrated']",False,False,False,[],['rehydrated'],"['Seaweed', 'EMI-TSUNOMATA']","['Cultivated', 'rehydrated']",['Canadian']
