fdc_id,description,product,item_prices,unpriced_items,priced_items,total_items,priced_share,adj,verb,total_price
167558,"Snacks, tortilla chips, plain, white corn, salted","['snacks', 'tortilla chips']","{'snacks': 9.22, 'tortilla chips': 7.6}",[],2,2,1.0,"['plain', 'white']",['salted'],16.82
167559,"Snacks, tortilla chips, nacho cheese","['snacks', 'tortilla chips', 'nacho cheese']","{'snacks': 9.22, 'tortilla chips': 7.6, 'nacho cheese': 8.5}",[],3,3,1.0,[],[],25.32
167560,"Snacks, tortilla chips, ranch-flavor","['snacks', 'tortilla chips']","{'snacks': 9.22, 'tortilla chips': 7.6}",[],2,2,1.0,[],[],16.82
167561,"Snacks, trail mix, regular","['snacks', 'trail mix']","{'snacks': 9.22, 'trail mix': 4.8}",[],2,2,1.0,['regular'],[],14.02
167562,"Candies, ALMOND JOY Candy Bar","['candies', 'candy bar']",{'candy bar': 7.56},['candies'],1,2,0.5,[],[],0.0
167569,"Candies, confectioner's coating, yogurt","['candies', 'yogurt']",{'yogurt': 4.54},['candies'],1,2,0.5,[],[],0.0
167570,"Candies, confectioner's coating, peanut butter","['candies', 'peanut butter']",{'peanut butter': 8.1},['candies'],1,2,0.5,[],[],0.0
167572,"Ice creams, vanilla, light",['ice creams'],{'ice creams': 7.65},[],1,1,1.0,[],[],7.65
167573,"Ice creams, vanilla, rich",['ice creams'],{'ice creams': 7.65},[],1,1,1.0,['rich'],[],7.65
167574,"Desserts, flan, caramel custard, prepared-from-recipe","['desserts', 'flan', 'caramel custard']",{'desserts': 13.95},"['flan', 'caramel custard']",1,3,0.3333333333333333,[],['prepared'],0.0
167575,"Ice creams, vanilla",['ice creams'],{'ice creams': 7.65},[],1,1,1.0,[],[],7.65
167576,"Ice creams, vanilla, light, soft-serve",['ice creams'],{'ice creams': 7.65},[],1,1,1.0,"['light', 'soft']",['serve'],7.65
167578,"Candies, fudge, peanut butter, prepared-from-recipe","['candies', 'fudge', 'peanut butter']",{'peanut butter': 8.1},"['candies', 'fudge']",1,3,0.3333333333333333,[],['prepared'],0.0
167579,"Candies, fudge, vanilla, prepared-from-recipe","['candies', 'fudge', 'vanilla']",{'vanilla': 4.35},"['candies', 'fudge']",1,3,0.3333333333333333,[],['prepared'],0.0
167581,"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts","['candies', 'goobers', 'chocolate peanuts']",{'chocolate peanuts': 2.38},"['candies', 'goobers']",1,3,0.3333333333333333,[],['Covered'],0.0
167582,"Candies, NESTLE, BABY RUTH Bar","['candies', 'bar']",{'bar': 7.56},['candies'],1,2,0.5,[],[],0.0
167584,"Syrups, table blends, pancake, with butter","['syrups', 'table blends', 'pancake']","{'table blends': 7.95, 'pancake': 8.95}",['syrups'],2,3,0.6666666666666666,[],[],0.0
167585,"Ice creams, chocolate, light",['ice creams'],{'ice creams': 7.65},[],1,1,1.0,[],[],7.65
167588,"Puddings, banana, dry mix, instant, prepared with 2% milk","['puddings', 'banana', 'mix']","{'puddings': 3.8, 'banana': 4.5, 'mix': 4.8}",[],3,3,1.0,"['dry', 'instant']",['prepared'],13.1
167589,"Puddings, banana, dry mix, regular, prepared with 2% milk","['puddings', 'banana', 'mix']","{'puddings': 3.8, 'banana': 4.5, 'mix': 4.8}",[],3,3,1.0,"['dry', 'regular']",['prepared'],13.1
167590,"Andrea's, Gluten Free Soft Dinner Roll",['gluten dinner roll'],{'gluten dinner roll': 7.45},[],1,1,1.0,"['Free', 'Soft']",[],7.45
167591,"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free","['grain crisps', 'snack crackers']",{'grain crisps': 2.21},['snack crackers'],1,2,0.5,"['Multi', 'Free']",[],0.0
167592,"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",['gluten cookies'],{'gluten cookies': 15.18},[],1,1,1.0,['Free'],[],15.18
167593,"Glutino, Gluten Free Cookies, Vanilla Creme",['gluten cookies'],{'gluten cookies': 15.18},[],1,1,1.0,['Free'],[],15.18
167597,"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",['sandwich bread'],{'sandwich bread': 3.15},[],1,1,1.0,"['Free', 'Original']",[],3.15
167598,"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",['sandwich bread'],{'sandwich bread': 3.15},[],1,1,1.0,"['Soft', 'Delicious', 'White']",[],3.15
167599,"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",['grain bread'],{'grain bread': 3.15},[],1,1,1.0,"['Soft', 'Hearty', 'Whole']",[],3.15
167600,"Udi's, Gluten Free, Whole Grain Dinner Rolls",['grain dinner rolls'],{'grain dinner rolls': 7.45},[],1,1,1.0,"['Free', 'Whole']",[],7.45
167601,"Van's, Gluten Free, Totally Original Pancakes",['pancakes'],{'pancakes': 8.95},[],1,1,1.0,"['Free', 'Original']",[],8.95
167602,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",['seaweed'],{'seaweed': 5.84},[],1,1,1.0,"['Canadian', 'dry']",['Cultivated'],5.84
167603,"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated","['seaweed', 'emi tsunomata']",{'seaweed': 5.84},['emi tsunomata'],1,2,0.5,['Canadian'],"['Cultivated', 'rehydrated']",0.0
167604,"Potatoes, hash brown, refrigerated, unprepared","['potatoes', 'hash']",{'potatoes': 4.17},['hash'],1,2,0.5,"['brown', 'unprepared']",['refrigerated'],0.0
167605,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",['potatoes'],{'potatoes': 4.17},[],1,1,1.0,"['brown', 'pan-fried']","['refrigerated', 'prepared']",4.17
167606,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",['potatoes'],{'potatoes': 4.17},[],1,1,1.0,"['Sweet', 'french']","['frozen', 'packaged', 'added']",4.17
167607,"Moose, meat, raw (Alaska Native)","['moose', 'meat']",{'meat': 7.3},['moose'],1,2,0.5,['raw'],[],0.0
167611,"Oil, bearded seal (Oogruk) (Alaska Native)",['oil'],{'oil': 8.85},[],1,1,1.0,['bearded'],[],8.85
167615,"Fish, salmon, king, chinook, smoked, brined (Alaska Native)","['fish', 'salmon', 'king', 'chinook']","{'fish': 5.94, 'salmon': 14.29, 'king': 4.51}",['chinook'],3,4,0.75,[],"['smoked', 'brined']",0.0
167620,"Tea, tundra, herb and laborador combination (Alaska Native)","['tea', 'tundra']",{'tea': 6.33},['tundra'],1,2,0.5,[],[],0.0
167627,"Mush, blue corn with ash (Navajo)",['corn'],{'corn': 3.08},[],1,1,1.0,"['Mush', 'blue']",[],3.08
167629,"Melon, banana (Navajo)","['melon', 'banana']","{'melon': 7.72, 'banana': 4.5}",[],2,2,1.0,[],[],12.22
167631,"Corn, dried (Navajo)",['corn'],{'corn': 3.08},[],1,1,1.0,[],['dried'],3.08
167633,"Bread, kneel down (Navajo)",['bread'],{'bread': 3.15},[],1,1,1.0,[],['kneel'],3.15
167634,"Mutton, cooked, roasted (Navajo)",['mutton'],{'mutton': 14.3},[],1,1,1.0,[],"['cooked', 'roasted']",14.3
167638,"Fish, halibut, raw, with skin (Alaska Native)","['fish', 'halibut']",{'fish': 5.94},['halibut'],1,2,0.5,['raw'],[],0.0
167639,"Fish, salmon, coho (silver), raw (Alaska Native)","['fish', 'salmon', 'coho']","{'fish': 5.94, 'salmon': 14.29}",['coho'],2,3,0.6666666666666666,['raw'],[],0.0
167640,"Blueberries, wild, raw (Alaska Native)",['blueberries'],{'blueberries': 10.95},[],1,1,1.0,"['wild', 'raw']",[],10.95
167641,"Oil, spotted seal (Alaska Native)",['oil'],{'oil': 8.85},[],1,1,1.0,[],['spotted'],8.85
167642,"Fish, salmon, red, canned, bones removed (Alaska Native)","['fish', 'salmon']","{'fish': 5.94, 'salmon': 14.29}",[],2,2,1.0,"['red', 'canned']",['removed'],20.23
167643,"Fish, whitefish, eggs (Alaska Native)","['fish', 'whitefish', 'eggs']","{'fish': 5.94, 'eggs': 4.18}",['whitefish'],2,3,0.6666666666666666,[],[],0.0
167644,"Caribou, rump meat, half dried (Alaska Native)","['caribou', 'rump meat']",{'rump meat': 7.3},['caribou'],1,2,0.5,[],['dried'],0.0
167645,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)","['fish', 'salmon']","{'fish': 5.94, 'salmon': 14.29}",[],2,2,1.0,"['red', 'canned']",['smoked'],20.23
167646,"Fish, salmon, red, (sockeye), kippered (Alaska Native)","['salmon', 'sockeye']",{'salmon': 14.29},['sockeye'],1,2,0.5,['red'],['kippered'],0.0
167647,"Fish, salmon, king, with skin, kippered, (Alaska Native)","['salmon', 'king']","{'salmon': 14.29, 'king': 4.51}",[],2,2,1.0,[],['kippered'],18.8
167648,"Fish, sheefish, raw (Alaska Native)",['fish'],{'fish': 5.94},[],1,1,1.0,"['sheefish', 'raw']",[],5.94
167651,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)","['buffalo', 'steak']",{'steak': 14.25},['buffalo'],1,2,0.5,"['free', 'top', 'round']",['cooked'],0.0
167653,"Corn, dried, yellow (Northern Plains Indians)",['corn'],{'corn': 3.08},[],1,1,1.0,"['yellow', 'Northern']",['dried'],3.08
167657,"ON THE BORDER, soft taco with ground beef, cheese and lettuce","['taco', 'ground beef']",{'ground beef': 10.25},['taco'],1,2,0.5,['soft'],[],0.0
167658,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce","['taco', 'ground beef', 'cheese lettuce']","{'ground beef': 10.25, 'cheese lettuce': 3.4}",['taco'],2,3,0.6666666666666666,"['Mexican', 'soft']",[],0.0
167659,"Restaurant, Latino, chicken and rice, entree, prepared","['chicken rice', 'entree']",{'chicken rice': 3.1},['entree'],1,2,0.5,['Latino'],['prepared'],0.0
167660,"Restaurant, Latino, empanadas, beef, prepared","['empanadas', 'beef']",{'beef': 10.25},['empanadas'],1,2,0.5,['Latino'],['prepared'],0.0
167662,"Restaurant, Latino, pupusas con queso (pupusas, cheese)","['pupusas', 'cheese']",{'cheese': 8.5},['pupusas'],1,2,0.5,['Latino'],[],0.0
167664,"Restaurant, Latino, tamale, corn","['tamale', 'corn']",{'corn': 3.08},['tamale'],1,2,0.5,['Latino'],[],0.0
167665,"Restaurant, Mexican, spanish rice",['rice'],{'rice': 11.0},[],1,1,1.0,"['Mexican', 'spanish']",[],11.0
167666,"Restaurant, Mexican, refried beans",['refried beans'],{'refried beans': 2.72},[],1,1,1.0,['Mexican'],[],2.72
167667,"Restaurant, Chinese, egg rolls, assorted",['egg rolls'],{'egg rolls': 7.45},[],1,1,1.0,['Chinese'],['assorted'],7.45
167668,"Restaurant, Chinese, fried rice, without meat",['rice'],{'rice': 11.0},[],1,1,1.0,['Chinese'],['fried'],11.0
167669,"CRACKER BARREL, steak fries",['steak fries'],{'steak fries': 4.75},[],1,1,1.0,[],[],4.75
167670,"CRACKER BARREL, grilled sirloin steak",['sirloin steak'],{'sirloin steak': 26.1},[],1,1,1.0,[],['grilled'],26.1
167672,"DENNY'S, french fries",['fries'],{'fries': 4.75},[],1,1,1.0,['french'],[],4.75
167673,"DENNY'S, top sirloin steak",['sirloin steak'],{'sirloin steak': 26.1},[],1,1,1.0,['top'],[],26.1
167674,"Restaurant, Chinese, lemon chicken",['restaurant lemon chicken'],{'restaurant lemon chicken': 1.94},[],1,1,1.0,['Chinese'],[],1.94
167675,"Restaurant, Chinese, general tso's chicken",['chicken'],{'chicken': 8.0},[],1,1,1.0,"['Chinese', 'general']",[],8.0
167676,"Restaurant, Chinese, kung pao chicken",['kung pao chicken'],{'kung pao chicken': 8.0},[],1,1,1.0,['Chinese'],[],8.0
167678,"Restaurant, Chinese, chicken and vegetables","['chicken', 'vegetables']","{'chicken': 8.0, 'vegetables': 3.52}",[],2,2,1.0,['Chinese'],[],11.52
167679,"Restaurant, Chinese, orange chicken",['restaurant chicken'],{'restaurant chicken': 8.0},[],1,1,1.0,"['Chinese', 'orange']",[],8.0
167680,"Restaurant, Italian, spaghetti with meat sauce",['restaurant spaghetti meat sauce'],{'restaurant spaghetti meat sauce': 3.95},[],1,1,1.0,['Italian'],[],3.95
167681,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame","['beverages', 'fruit drink', 'mix']","{'fruit drink': 3.53, 'mix': 4.8}",['beverages'],2,3,0.6666666666666666,"['dry', 'low']","['flavored', 'powdered']",0.0
167683,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated","['novelties', 'ice cream', 'vanilla ice cream']","{'ice cream': 7.65, 'vanilla ice cream': 7.65}",['novelties'],2,3,0.6666666666666666,[],"['Frozen', 'added', 'coated']",0.0
167684,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",['dressing'],{'dressing': 4.95},[],1,1,1.0,"['Creamy', 'sour']","['made', 'reduced']",4.95
167685,"Bologna, beef and pork, low fat","['bologna', 'beef pork']",{'beef pork': 6.15},['bologna'],1,2,0.5,['low'],[],0.0
167686,"Milk dessert, frozen, milk-fat free, chocolate",['milk dessert'],{'milk dessert': 13.95},[],1,1,1.0,"['fat', 'free']",['frozen'],13.95
167687,"Whipped topping, frozen, low fat",['fat'],{'fat': 6.62},[],1,1,1.0,['low'],"['Whipped', 'topping', 'frozen']",6.62
167690,"Babyfood, apple yogurt dessert, strained","['babyfood', 'apple yogurt dessert']",{'apple yogurt dessert': 13.95},['babyfood'],1,2,0.5,[],['strained'],0.0
167691,"Vegetable oil-butter spread, reduced calorie",['vegetable oil butter spread'],{'vegetable oil butter spread': 5.58},[],1,1,1.0,[],['reduced'],5.58
167692,"Salad dressing, blue or roquefort cheese dressing, light","['salad dressing', 'roquefort cheese dressing']","{'salad dressing': 4.95, 'roquefort cheese dressing': 4.95}",[],2,2,1.0,['blue'],[],9.9
167693,"Salad dressing, french dressing, reduced calorie","['salad dressing', 'dressing']","{'salad dressing': 4.95, 'dressing': 4.95}",[],2,2,1.0,['french'],['reduced'],9.9
167694,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",['sausage'],{'sausage': 10.8},[],1,1,1.0,['fresh'],['cooked'],10.8
167695,"Mayonnaise, made with tofu",['mayonnaise'],{'mayonnaise': 5.3},[],1,1,1.0,[],['made'],5.3
167696,"Frankfurter, beef, low fat","['frankfurter', 'beef']","{'frankfurter': 59.28, 'beef': 10.25}",[],2,2,1.0,['low'],[],69.53
167697,"Milk, buttermilk, fluid, cultured, reduced fat","['milk', 'buttermilk', 'fluid']",{'milk': 3.63},"['buttermilk', 'fluid']",1,3,0.3333333333333333,[],"['cultured', 'reduced']",0.0
167698,"Pork sausage rice links, brown and serve, cooked","['pork sausage', 'rice links']",{'pork sausage': 9.11},['rice links'],1,2,0.5,['brown'],['cooked'],0.0
167699,"Salad dressing, blue or roquefort cheese dressing, fat-free","['salad dressing', 'roquefort cheese dressing']","{'salad dressing': 4.95, 'roquefort cheese dressing': 4.95}",[],2,2,1.0,"['blue', 'fat', 'free']",[],9.9
167700,"Salad Dressing, mayonnaise-like, fat-free",['salad dressing'],{'salad dressing': 4.95},[],1,1,1.0,"['fat', 'free']",[],4.95
167702,"Oil, flaxseed, cold pressed","['oil', 'flaxseed']",{'oil': 8.85},['flaxseed'],1,2,0.5,['cold'],['pressed'],0.0
167703,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced","['cheese', 'cottage']",{'cheese': 8.5},['cottage'],1,2,0.5,[],['reduced'],0.0
167704,"Salad dressing, bacon and tomato",['salad dressing'],{'salad dressing': 4.95},[],1,1,1.0,[],[],4.95
167705,"Cheese, parmesan, low sodium","['cheese', 'parmesan']","{'cheese': 8.5, 'parmesan': 5.95}",[],2,2,1.0,['low'],[],14.45
167707,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie","['beverages', 'fruit drink', 'powder']","{'fruit drink': 3.53, 'powder': 3.96}",['beverages'],2,3,0.6666666666666666,"['high', 'other', 'low']","['flavored', 'added']",0.0
167708,"Tomato and vegetable juice, low sodium",['tomato vegetable juice'],{'tomato vegetable juice': 9.78},[],1,1,1.0,['low'],[],9.78
167709,"Turkey, wing, smoked, cooked, with skin, bone removed",['wing'],{'wing': 7.93},[],1,1,1.0,[],"['smoked', 'cooked', 'removed']",7.93
167710,"Turkey, drumstick, smoked, cooked, with skin, bone removed",['drumstick'],{'drumstick': 8.17},[],1,1,1.0,[],"['smoked', 'cooked', 'removed']",8.17
167712,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium","['pork', 'bacon']","{'pork': 6.15, 'bacon': 9.88}",[],2,2,1.0,['pan-fried'],"['cured', 'cooked', 'broiled', 'roasted', 'reduced']",16.03
167713,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",['turkey'],{'turkey': 119.57},[],1,1,1.0,"['light', 'dark']","['smoked', 'cooked', 'removed']",119.57
167716,"Cheese, cottage, lowfat, 1% milkfat, with vegetables","['cheese', 'cottage']",{'cheese': 8.5},['cottage'],1,2,0.5,[],[],0.0
167717,Yeast extract spread,['yeast extract spread'],{'yeast extract spread': 5.58},[],1,1,1.0,[],[],5.58
167718,"Babyfood, juice, pear","['babyfood', 'juice', 'pear']","{'juice': 9.78, 'pear': 4.95}",['babyfood'],2,3,0.6666666666666666,[],[],0.0
167719,"Chicken, meatless, breaded, fried",['chicken'],{'chicken': 8.0},[],1,1,1.0,['meatless'],"['breaded', 'fried']",8.0
167720,"Babyfood, meat, beef with vegetables, toddler","['babyfood', 'meat', 'beef vegetables']","{'meat': 7.3, 'beef vegetables': 3.52}",['babyfood'],2,3,0.6666666666666666,[],[],0.0
167721,"Frozen novelties, juice type, juice with cream","['novelties', 'juice type', 'juice cream']",{'juice cream': 5.5},"['novelties', 'juice type']",1,3,0.3333333333333333,[],['Frozen'],0.0
167722,Tofu yogurt,['tofu yogurt'],{'tofu yogurt': 4.54},[],1,1,1.0,[],[],4.54
167724,"Millet, puffed",['millet'],{'millet': 6.94},[],1,1,1.0,[],['puffed'],6.94
167726,"Babyfood, mixed fruit yogurt, strained","['babyfood', 'fruit yogurt']",{'fruit yogurt': 4.54},['babyfood'],1,2,0.5,[],"['mixed', 'strained']",0.0
167728,"Babyfood, rice and apples, dry","['babyfood', 'rice apples']",{'rice apples': 5.9},['babyfood'],1,2,0.5,['dry'],[],0.0
167729,"Babyfood, juice, apple - cherry","['babyfood', 'juice']",{'juice': 9.78},['babyfood'],1,2,0.5,[],[],0.0
167730,"Milk, imitation, non-soy","['milk', 'imitation']","{'milk': 3.63, 'imitation': 5.05}",[],2,2,1.0,[],[],8.68
167731,"Babyfood, cereal, rice with pears and apple, dry, instant fortified","['babyfood', 'cereal', 'rice pears apple']",{'rice pears apple': 5.9},"['babyfood', 'cereal']",1,3,0.3333333333333333,"['dry', 'instant']",['fortified'],0.0
167733,"Babyfood, banana apple dessert, strained","['babyfood', 'banana apple dessert']",{'banana apple dessert': 13.95},['babyfood'],1,2,0.5,[],['strained'],0.0
167734,"Breakfast bar, corn flake crust with fruit",['breakfast bar'],{'breakfast bar': 7.56},[],1,1,1.0,[],[],7.56
167735,"Cheese, mozzarella, low sodium","['cheese', 'mozzarella']","{'cheese': 8.5, 'mozzarella': 8.63}",[],2,2,1.0,['low'],[],17.13
167736,"Mayonnaise dressing, no cholesterol",['mayonnaise dressing'],{'mayonnaise dressing': 4.95},[],1,1,1.0,[],[],4.95
167737,"Oil, corn, peanut, and olive","['oil', 'corn', 'peanut', 'olive']","{'oil': 8.85, 'corn': 3.08, 'peanut': 2.38, 'olive': 4.15}",[],4,4,1.0,[],[],18.46
167739,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen","['beverages', 'cocktail mix']",{'cocktail mix': 4.8},['beverages'],1,2,0.5,['non-alcoholic'],"['concentrated', 'frozen']",0.0
167740,"Puddings, chocolate flavor, low calorie, regular, dry mix","['puddings', 'chocolate flavor']",{'puddings': 3.8},['chocolate flavor'],1,2,0.5,"['low', 'regular', 'dry']",[],0.0
167741,"Puddings, all flavors except chocolate, low calorie, regular, dry mix","['puddings', 'flavors except chocolate']",{'puddings': 3.8},['flavors except chocolate'],1,2,0.5,"['low', 'regular', 'dry']",[],0.0
167742,"Mollusks, scallop, (bay and sea), cooked, steamed","['mollusks', 'scallop']",{'scallop': 21.52},['mollusks'],1,2,0.5,[],"['cooked', 'steamed']",0.0
167746,"Lemons, raw, without peel",['lemons'],{'lemons': 3.45},[],1,1,1.0,['raw'],[],3.45
167747,"Lemon juice, raw",['lemon juice'],{'lemon juice': 9.78},[],1,1,1.0,['raw'],[],9.78
167748,"Lemon juice from concentrate, canned or bottled",['lemon juice concentrate'],{'lemon juice concentrate': 21.9},[],1,1,1.0,[],"['canned', 'bottled']",21.9
167750,"Prickly pears, raw",['pears'],{'pears': 4.95},[],1,1,1.0,"['Prickly', 'raw']",[],4.95
167751,"Plums, dried (prunes), stewed, without added sugar","['plums', 'prunes']",{'plums': 7.95},['prunes'],1,2,0.5,[],"['dried', 'stewed', 'added']",0.0
167752,"Plums, dried (prunes), stewed, with added sugar","['plums', 'prunes']",{'plums': 7.95},['prunes'],1,2,0.5,[],"['dried', 'stewed', 'added']",0.0
167753,"Prune juice, canned",['juice'],{'juice': 9.78},[],1,1,1.0,[],"['Prune', 'canned']",9.78
167755,"Raspberries, raw",['raspberries'],{'raspberries': 12.44},[],1,1,1.0,['raw'],[],12.44
167756,"Raspberries, canned, red, heavy syrup pack, solids and liquids",['raspberries'],{'raspberries': 12.44},[],1,1,1.0,"['canned', 'red', 'heavy']",[],12.44
167757,"Raspberries, frozen, red, sweetened",['raspberries'],{'raspberries': 12.44},[],1,1,1.0,['red'],"['frozen', 'sweetened']",12.44
167762,"Strawberries, raw",['strawberries'],{'strawberries': 19.75},[],1,1,1.0,['raw'],[],19.75
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids","['fruit salad', 'pineapple papaya banana guava']","{'fruit salad': 11.49, 'pineapple papaya banana guava': 5.08}",[],2,2,1.0,"['tropical', 'canned', 'heavy']",[],16.57
167765,"Watermelon, raw",['watermelon'],{'watermelon': 5.85},[],1,1,1.0,['raw'],[],5.85
167766,"Maraschino cherries, canned, drained",['maraschino cherries'],{'maraschino cherries': 9.45},[],1,1,1.0,[],"['canned', 'drained']",9.45
